text_a	text_b	labels
Is it Cassie	Mmm hmm	0.0
Mmm hmm	We were looking at the circumference and area of the circle and the difference	3.0
Angelique	Yeah	0.0
Okay	We talked about the area is length times width and perimeter is length plus width plus length plus width	3.0
Youre telling me how to get it so youre saying well what shape are you talking about	a triangle	3.0
a triangle	I mean  I mean the rectangle	3.0
Alexander	Well the area is whats inside and the perimeter is whats outside	3.0
Can you guys see what Alex is doing	Yeah	0.0
Whats your name	Joey	0.0
What Julian is doing	Hes getting the perimeter of the circle	3.0
What did Alex do	Alex he shaded in the middle of the square  cause its the area	1.0
Stacey	He outlined the circle with the perimeter	1.0
Yeah	Yeah	0.0
Are you all as awake as I am	Yeah	0.0
Did you all build the same model	No	0.0
To answer that question	No no	0.0
Erik	Some of us built the same models and some of us built different	3.0
Do you remember	Oh	0.0
Erik	Could you get different answers	3.0
Could you get different answers	Using barred models	1.0
Using barred models	if you use different models	3.0
Maybe not huh Michael have you been thinking about that a little  bit	Um well I figured that it couldnt be because our answer that we  got me and Brian was that it was bigger by one fourth because it  will always take two it will always take four quarters to equal up	4.0
Um well I figured that it couldnt be because our answer that we  got me and Brian was that it was bigger by one fourth because it  will always take two it will always take four quarters to equal up	Yeah because four is an even number and you can divide it by two	4.0
Yeah because four is an even number and you can divide it by two	In half	1.0
In half	So there will always be one fourth and two fourths three fourths  four fourths and two fourths is always going to be a half halfway  point	4.0
What are you why  are you smiling about Mark	Uh well I wasnt thinking about the sizes	0.0
Uh well I wasnt thinking about the sizes	I made the sea monster  bigger than the boat	3.0
Did you want the sea monster to be bigger than the boat	No	0.0
What about the boat and the children	Those too	0.0
Those too	The children are bigger	3.0
No	Maybe he was trying to focus on the children and instead of just the  boat	1.0
Maybe he was trying to focus on the children and instead of just the  boat	Yeah he was probably trying maybe to make them look bigger like  youre looking at the children not the boat	1.0
I I	like he doesnt he just put the boat in	1.0
Yeah	Cause theyre at the dock	1.0
Cause theyre at the dock	Yeah but he wasnt just focusing on the  boat	1.0
Mark	Uh the boats the biggest	3.0
Do you agree	Mm hmm	1.0
okay	And then the children um and then the fish	3.0
You all agree with that	Um hmm	1.0
Meredith	Well maybe not because everybody cant have the same because  they dont have theyre not like copying each other	4.0
some of you might use little dolls or  something right or bigger dolls or	You re not measuring the same	3.0
And if somebody came in now with a fish bigger than the boy   that would have missed the point right	No because a fish could be bigger than a boy	4.0
Would it look different	Yes	0.0
Would the relationships that youre suppose to show change	No	0.0
No	It would look like a shrimp	3.0
Graham	Well it wouldnt fit	3.0
And what would happen  Meredith	Well you could put the Audras fish and you could put Danielles fish  into Audras box because it s small and it could fit in	4.0
It could be a shrimp	but you cant put Audras fish into Danielles box because its too small	4.0
So in this case if if your one is going to be the size of this  little stage if you like  your players are made the boy the  girl the fish the boat in relationship to this stage isnt it	Mm hmm	0.0
Isnt that  right	Yup	0.0
Would you expect it to work if your	Maybe maybe	0.0
So tell me what  you re thinking	Well your old model say your old model you decided it was too  little and you couldnt see all the figures in it	4.0
Well your old model say your old model you decided it was too  little and you couldnt see all the figures in it	So you make a bigger  model and you try to take the little fish from that model because you  decide that you dont want to make another one you put it in and you  wouldnt be able to see it there	4.0
