text_a	text_b	damsl_labels	labels
	Mmm hmm	sd	0.0
Mmm hmm	We were looking at the circumference and area of the circle and the difference	sd	3.0
We were looking at the circumference and area of the circle and the difference	Yeah	b	0.0
Yeah	We talked about the area is length times width and perimeter is length plus width plus length plus width	sd	3.0
We talked about the area is length times width and perimeter is length plus width plus length plus width	a triangle	sd	3.0
a triangle	I mean  I mean the rectangle	sd	3.0
I mean  I mean the rectangle	Well the area is whats inside and the perimeter is whats outside	sd	3.0
Well the area is whats inside and the perimeter is whats outside	Yeah	b	0.0
Yeah	Joey	b	0.0
Joey	Hes getting the perimeter of the circle	sd	3.0
Hes getting the perimeter of the circle	Alex he shaded in the middle of the square  cause its the area	sd	1.0
Alex he shaded in the middle of the square  cause its the area	He outlined the circle with the perimeter	sd	1.0
He outlined the circle with the perimeter	Yeah	b	0.0
Are you all as awake as I am	Yeah	b	0.0
Did you all build the same model	No	b	0.0
To answer that question	No no	ba	0.0
Erik	Some of us built the same models and some of us built different	sd	3.0
Erik	Could you get different answers	sd	3.0
Could you get different answers	Using barred models	sd	1.0
Using barred models	if you use different models	sd	3.0
Maybe not huh Michael have you been thinking about that a little  bit	Um well I figured that it couldnt be because our answer that we  got me and Brian was that it was bigger by one fourth because it  will always take two it will always take four quarters to equal up	sd	4.0
Um well I figured that it couldnt be because our answer that we  got me and Brian was that it was bigger by one fourth because it  will always take two it will always take four quarters to equal up	Yeah because four is an even number and you can divide it by two	sd	4.0
Yeah because four is an even number and you can divide it by two	In half	sd	1.0
In half	So there will always be one fourth and two fourths three fourths  four fourths and two fourths is always going to be a half halfway  point	sd	4.0
What are you why  are you smiling about Mark	Uh well I wasnt thinking about the sizes	sd	0.0
Uh well I wasnt thinking about the sizes	I made the sea monster  bigger than the boat	sd	3.0
What about the boat and the children	Those too	sd	0.0
No	Maybe he was trying to focus on the children and instead of just the  boat	sd	1.0
Maybe he was trying to focus on the children and instead of just the  boat	Yeah he was probably trying maybe to make them look bigger like  youre looking at the children not the boat	sd	1.0
Yeah he was probably trying maybe to make them look bigger like  youre looking at the children not the boat	like he doesnt he just put the boat in	sd	1.0
Yeah	Cause theyre at the dock	sd	1.0
Cause theyre at the dock	Yeah but he wasnt just focusing on the  boat	sd	1.0
Do you agree	Mm hmm	sd	1.0
okay	And then the children um and then the fish	sd	3.0
You all agree with that	Um hmm	sd	1.0
Meredith	Well maybe not because everybody cant have the same because  they dont have theyre not like copying each other	sd	4.0
And if somebody came in now with a fish bigger than the boy   that would have missed the point right	No because a fish could be bigger than a boy	sd	4.0
Would it look different	Yes	b	0.0
No	It would look like a shrimp	sd	3.0
And what would happen  Meredith	Well you could put the Audras fish and you could put Danielles fish  into Audras box because it s small and it could fit in	sd	4.0
It could be a shrimp	but you cant put Audras fish into Danielles box because its too small	sd	4.0
So in this case if if your one is going to be the size of this  little stage if you like  your players are made the boy the  girl the fish the boat in relationship to this stage isnt it	Mm hmm	sd	0.0
Isnt that  right	Yup	aa	0.0
Would you expect it to work if your	Maybe maybe	sd	0.0
So tell me what  you re thinking	Well your old model say your old model you decided it was too  little and you couldnt see all the figures in it	sv	4.0
Well your old model say your old model you decided it was too  little and you couldnt see all the figures in it	So you make a bigger  model and you try to take the little fish from that model because you  decide that you dont want to make another one you put it in and you  wouldnt be able to see it there	sv	4.0
Would you expect lets say in Audras model which is a different  model that her fish was smaller than the people and smaller than the  boat	Youd have bigger people bigger boat and a bigger fish	sd	3.0
But should those relationships hold	Yeah	b	0.0
Yeah	Yes	b	0.0
Yeah is that right	Yeah	b	0.0
Or if we had sort of a medium size model like Marks and he were  trying to make these fit would you expect the fish to be smaller than  the people than the boat	Yeah	b	0.0
So in each of your models would have those relationships holding  right	Yeah	b	0.0
But they wouldnt all be built the same way and they wouldnt all be  the same size	So it d be its standard that the fish would be smaller than the boat  and the people except the fish would be different sized and the  people different sized and the boat different sized	sd	4.0
Is that like what youre doing when you make models to  compare fractions	Yeah	b	0.0
Meredith	Well if you have the same question asked and you do it right then  youre going to wind up with the same answer and some of the  models could be bigger and some of them could be smaller	sd	4.0
Michael do you want to add to that	Well its sort of like um you cant the fish has to be smaller than the  people and the people have to be smaller than the boat cause the  people have to go in the boat and the people have to be able to pull  the fish out of the water and if it was bigger than it they might have a  little trouble getting it out	sd	4.0
Well its sort of like um you cant the fish has to be smaller than the  people and the people have to be smaller than the boat cause the  people have to go in the boat and the people have to be able to pull  the fish out of the water and if it was bigger than it they might have a  little trouble getting it out	So um so then um its sort of  like so that just helps us understand what we re talking about with  the Cuisenaire rods when we are using different sized boxes to make  different sized um halves and quarters um but they re basically  you can call it the same thing as you would then just the small one  with the small one if you call the box a whole and the boat a half it  would equal a quarter	sd	4.0
So um so then um its sort of  like so that just helps us understand what we re talking about with  the Cuisenaire rods when we are using different sized boxes to make  different sized um halves and quarters um but they re basically  you can call it the same thing as you would then just the small one  with the small one if you call the box a whole and the boat a half it  would equal a quarter	You could still do that in Audras model or  any box	sd	4.0
Oh it was said already	Yes	b	0.0
Why don t you work with your partner and see if you can  figure it out	Well we ve got we ve got that whole this is the whole we have the  three thirds and we then the half	sd	3.0
And what we supposed to figure out after we did that	Which is bigger a half or two thirds	sd	2.0
Is it still the same or does it change when your  model changes	Two thirds is still bigger	sd	3.0
How  many do you think	Eighteen	sd	3.0
So how much larger	It s bigger	sd	3.0
It s bigger	One eighteenth	sd	3.0
My goodness tell me help me remember what it was over there	It was bigger by one one sixth	sd	3.0
This is  different from the other one or the same	It s different in a way and it s the same in a way	sd	4.0
You mean yeah the two thirds are bigger by three eighteenths	and the two thirds over here is bigger by one sixth	sd	4.0
Ok Danielle what do you think about this time	Well um two thirds	sd	3.0
Can you build a two thirds and a one half for  him separate so we can then compare	Here s the two thirds and here s the half	sd	3.0
What s the difference	and it s bigger by two twelfths	sd	4.0
and it s bigger by two twelfths	It s  um it s bigger by two twelfths	sd	4.0
How are the answers I don t understand what do you think  about this	One two three	sd	0.0
Over here it was how much	This one was bigger by three eighteenths	sd	4.0
And this one	Was bigger by  how much	sd	2.0
Was bigger by  how much	Two twelfths	ba	3.0
Two twelfths	One two three four five six seven eight nine ten eleven  twelve	sd	0.0
And your original one was	It was bigger by one sixth	sd	4.0
Oh so what do you think	I think they re all different but then all the same	sd	4.0
I think they re all different but then all the same	Cause they re the  same because the thirds are always bigger than the half	sd	4.0
The two thirds are always bigger than the half	And um and they re different because these are all the whites	sd	4.0
And um and they re different because these are all the whites	they re different sizes	sd	1.0
they re different sizes	They re all different like one two uh three they re different	sd	4.0
They re all different like one two uh three they re different	So  they re different like that	sd	4.0
Or this difference  here	You could use a light green	sd	0.0
What would that be	That would be one That would be one sixth	sd	3.0
And what did you say it was over here with the little one	Um that s one sixth	sd	3.0
And if you used the whites	It would be three eighteenths	sd	3.0
What about for this one	What problem	sd	0.0
Uh Gregory I want you to watch and see if you agree with  what Danielle is doing here	And then  that would be one sixth too	sd	3.0
Mmm over each of  em	That would be one sixth that would be one sixth and that one would  be one sixth	sd	3.0
But you have had two two different names for the answer if you did  it this way it was	It was two twelfths	sd	3.0
And and uh Gregory for this one over here where she had the  three what was the name for that one	Three eighteenths	sd	3.0
Three eighteenths	Two thirds	sd	3.0
Two thirds	Two thirds	sd	3.0
Two thirds	One sixth	sd	3.0
One sixth	Oh Oh	ba	0.0
Oh Oh	Ah the orange and red	sd	3.0
Ah the orange and red	No	b	0.0
No	No they cant do that	sd	1.0
No they cant do that	Because um the the two  thirds are bigger than the half by a red	sd	4.0
Because um the the two  thirds are bigger than the half by a red	So they cant use those whites  to show it	sd	4.0
So they cant use those whites  to show it	A third is the purple	sd	3.0
A third is the purple	Um two thirds is two purples	sd	3.0
Um two thirds is two purples	Uh dark green	sd	3.0
Uh dark green	Yes	b	0.0
Yes	By one sixth	sd	3.0
By one sixth	Or or two twelfths	sd	1.0
Or or two twelfths	No	b	1.0
No	Red	sd	3.0
Red	Two twelfths	ba	3.0
Two twelfths	Well in a way	sd	1.0
Well in a way	No	b	1.0
No	Uh uh	sd	1.0
Uh uh	Yeah but then she would have to call the two whites together one  sixth	sd	1.0
Yeah but then she would have to call the two whites together one  sixth	Yeah exactly	b	1.0
Yeah exactly	Shes calling the whites one white one sixth	sd	1.0
Shes calling the whites one white one sixth	No Im not Im calling it one twelfth	sd	3.0
No Im not Im calling it one twelfth	Yeah but see just the whites together	sd	0.0
Yeah but see just the whites together	Thatd be right it would be  two twelfths	sd	3.0
Thatd be right it would be  two twelfths	But you have to combine them	sd	3.0
But you have to combine them	You cant call them  you can call them separately but you could also call them combined  and if you combine them it would be uh one sixth	sd	4.0
You cant call them  you can call them separately but you could also call them combined  and if you combine them it would be uh one sixth	One twelfth two twelfths	sd	3.0
One twelfth two twelfths	Two twelfths	ba	3.0
Two twelfths	One sixth	sd	3.0
One sixth	Theres two answers	sd	3.0
Theres two answers	No theyre the same answer	sd	1.0
No theyre the same answer	No theyre the exact same thing except she she took the red and  divided it into half she divided it into halves into half and called  and called each half one twelfth	sd	4.0
No theyre the exact same thing except she she took the red and  divided it into half she divided it into halves into half and called  and called each half one twelfth	Theyre the exact same answer  except theyre just in two parts	sd	3.0
Theyre the exact same answer  except theyre just in two parts	One sixth	sd	3.0
One sixth	Yeah	b	0.0
Yeah	Two twelfths	ba	3.0
Two twelfths	Yeah	b	0.0
Yeah	A red one red equals one red rod up here one red equals two  of the white ones	sd	4.0
A red one red equals one red rod up here one red equals two  of the white ones	Yeah	b	1.0
Yeah	Yes	b	1.0
Yes	And since shes calling a white rod one twelfth and the other white  rod one twelfth and the red rod is really one sixth	sd	4.0
And since shes calling a white rod one twelfth and the other white  rod one twelfth and the red rod is really one sixth	But when she  calls them two twelfths the two twelfths are actually just two white  rods put together to equal a red so it should be really its really one  sixth	sd	4.0
But when she  calls them two twelfths the two twelfths are actually just two white  rods put together to equal a red so it should be really its really one  sixth	Because two whites two whites	sd	4.0
Because two whites two whites	And its one sixth its one sixth	sd	1.0
And its one sixth its one sixth	Yeah	b	0.0
Yeah	Yeah	b	0.0
Yeah	But I dont really think you could call call them two twelfths  because two twelfths equal exactly to the same size as one sixth	sd	4.0
But I dont really think you could call call them two twelfths  because two twelfths equal exactly to the same size as one sixth	Well if you want to you could call them I guess	sd	0.0
Well if you want to you could call them I guess	But I think it  would be easier just to call them one sixth then wouldnt want to  exactly call them one twelfth and another twelfth	sd	4.0
But I think it  would be easier just to call them one sixth then wouldnt want to  exactly call them one twelfth and another twelfth	Id just call them  one sixth	sd	4.0
Id just call them  one sixth	Therefore I think you just really call them one sixth	sd	4.0
Therefore I think you just really call them one sixth	Well maybe you can call them	sd	0.0
Well maybe you can call them	Well you can call them if you want to but	sd	0.0
Well you can call them if you want to but	they re not different	sd	0.0
they re not different	Theres just half of one theres just half of one	sd	3.0
Theres just half of one theres just half of one	Theyre just two answers	sd	0.0
Theyre just two answers	What Erik said is that two whites equal one red so it would be the  exact same thing	sd	4.0
What Erik said is that two whites equal one red so it would be the  exact same thing	Yeah	b	0.0
Yeah	Um hmm	sd	0.0
Um hmm	Try the purples	sd	0.0
Try the purples	Get three purples	sd	0.0
Get three purples	It doesn t work try the greens	sd	0.0
It doesn t work try the greens	What was it	sd	0.0
What was it	Two thirds	sd	2.0
Two thirds	It would be like brown or something like that	sd	3.0
It would be like brown or something like that	Ok	b	0.0
Ok	We re not doing the one third we re doing two thirds	sd	0.0
We re not doing the one third we re doing two thirds	That is one  third	sd	0.0
That is one  third	First we ve got to find out what a third of it is	sd	3.0
First we ve got to find out what a third of it is	What s a third of an  orange	sd	2.0
What s a third of an  orange	One third	sd	0.0
One third	What s third of an orange	sd	2.0
What s third of an orange	Let s start a different model	sd	0.0
Let s start a different model	The green	sd	0.0
The green	The green half of it is the  light green	sd	0.0
The green half of it is the  light green	Alright yeah I was thinking of that way before	sd	0.0
Alright yeah I was thinking of that way before	And you can take the take the red and the light green and put it up  to it  it s she asked is one half bigger than  what did she ask	sd	0.0
And you can take the take the red and the light green and put it up  to it  it s she asked is one half bigger than  what did she ask	What did she ask	sd	0.0
What did she ask	She asked which is bigger one half or two thirds	sd	0.0
She asked which is bigger one half or two thirds	One half or two thirds	sd	0.0
One half or two thirds	Now take six of the ones	sd	3.0
Now take six of the ones	Yeah I know and put  em up to there and that would be one sixth	sd	3.0
Yeah I know and put  em up to there and that would be one sixth	Hey wait a minute hey wait maybe that s it yeah it s bigger by one  sixth	sd	3.0
Hey wait a minute hey wait maybe that s it yeah it s bigger by one  sixth	One half	sd	3.0
One half	I think one half is	sd	1.0
I think one half is	What do you have	qy	1.0
What do you have	we think	sd	0.0
we think	two thirds	sd	3.0
two thirds	is bigger than	sd	1.0
is bigger than	one half by one sixth	sd	3.0
one half by one sixth	Cause if you put six ones up to a whole	sd	4.0
Cause if you put six ones up to a whole	dark green	sd	0.0
dark green	If you put it up to a whole	sd	3.0
If you put it up to a whole	And you put six ones up to the dark green	sd	3.0
And you put six ones up to the dark green	One sixth	sd	3.0
One sixth	And then these this would be	sd	0.0
And then these this would be	We re calling them each sixths	sd	3.0
We re calling them each sixths	So there s six sixths	sd	3.0
So there s six sixths	This would be one third and this is one half of  dark green and then it would be bigger by one sixth because	sd	4.0
This would be one third and this is one half of  dark green and then it would be bigger by one sixth because	Mmm hmm yeah	aa	0.0
Mmm hmm yeah	Seven nine ten I need them	sd	3.0
Seven nine ten I need them	Go get another box	sd	0.0
Go get another box	Yeah	b	0.0
Yeah	We found two answers	sd	0.0
We found two answers	Well I have three	sd	1.0
Well I have three	That one	sd	0.0
That one	Now if you call this rod one	sd	3.0
Now if you call this rod one	Yeah and you take the two dark green rods those are the halves	sd	4.0
Yeah and you take the two dark green rods those are the halves	And you take two  thirds and put it up to it and you take two sixths its bigger than  two sixths	sd	4.0
And you take two  thirds and put it up to it and you take two sixths its bigger than  two sixths	And  in this one it you take this	sv	4.0
And  in this one it you take this	I mean its bigger than one tenth I mean twelfth one twelfth one  twelfth	sd	4.0
I mean its bigger than one tenth I mean twelfth one twelfth one  twelfth	If you put the white rods up to here theres twelve of them and  then you call them twelfths because there are twelve of them	sd	4.0
If you put the white rods up to here theres twelve of them and  then you call them twelfths because there are twelve of them	And then you take the two thirds and you take two twelfths and  then you put it up to the thirds and it is bigger by  two tens two twelfths	sd	4.0
And then you take the two thirds and you take two twelfths and  then you put it up to the thirds and it is bigger by  two tens two twelfths	If you use this model	sd	3.0
If you use this model	And if you use this model	sd	3.0
And if you use this model	And you call these sixths and you put  this one up to it and it is bigger than one  sixth	sd	4.0
And you call these sixths and you put  this one up to it and it is bigger than one  sixth	Yeah	b	0.0
Yeah	Yeah and maybe since two of these little white ones equals up to  one of these	sd	4.0
